,0
Source,NSRDB
Location ID,76784
City,-
State,-
Country,-
Latitude,33.29
Longitude,-111.82
Time Zone,-7
Elevation,381
Local Time Zone,-7
Clearsky DHI Units,w/m2
Clearsky DNI Units,w/m2
Clearsky GHI Units,w/m2
Dew Point Units,c
DHI Units,w/m2
DNI Units,w/m2
GHI Units,w/m2
Solar Zenith Angle Units,Degree
Temperature Units,c
Pressure Units,mbar
Relative Humidity Units,%
Precipitable Water Units,cm
Wind Direction Units,Degrees
Wind Speed,m/s
Cloud Type -15,
Cloud Type 0,Clear
Cloud Type 1,Probably Clear
Cloud Type 2,Fog
Cloud Type 3,Water
Cloud Type 4,Super-Cooled Water
Cloud Type 5,Mixed
Cloud Type 6,Opaque Ice
Cloud Type 7,Cirrus
Cloud Type 8,Overlapping
Cloud Type 9,Overshooting
Cloud Type 10,Unknown
Cloud Type 11,Dust
Cloud Type 12,Smoke
Fill Flag 0,
Fill Flag 1,Missing Image
Fill Flag 2,Low Irradiance
Fill Flag 3,Exceeds Clearsky
Fill Flag 4,Missing CLoud Properties
Fill Flag 5,Rayleigh Violation
Surface Albedo Units,
Version,3.1.0
