program_id,county_id
66,3070
198,3104
370,3267
371,3267
869,3220
1667,3351
1667,3352
1667,3353
1667,3354
1667,3355
1667,3356
1784,3249
1784,3250
1784,3251
2310,3257
2310,3258
2310,3259
2310,3260
2310,3261
2310,3262
2310,3263
2457,284
2459,3357
2459,3358
2461,3372
2508,3221
2508,3222
2508,3223
2508,3224
2508,3225
2508,3226
2508,3227
2508,3228
2508,3229
2508,3230
2508,3231
2508,3232
2513,3221
2513,3222
2513,3223
2513,3224
2513,3225
2513,3226
2513,3227
2513,3228
2513,3229
2513,3230
2513,3231
2513,3232
2524,3372
2829,3268
2832,264
2908,262
2929,3248
2936,3234
2936,3235
2936,3236
2936,3237
2936,3238
2936,3239
2962,330
2962,332
2962,334
2962,339
2962,341
2962,342
2962,343
2962,344
2962,3360
2962,3361
2962,3362
2962,3363
2962,3364
2962,3365
2962,3366
2962,3367
2962,3368
3085,3220
3106,3269
3123,3244
3152,3277
3224,3221
3224,3222
3224,3223
3224,3224
3224,3225
3224,3226
3224,3227
3224,3228
3224,3229
3224,3230
3224,3231
3224,3232
3299,3235
3559,3268
3564,3111
3564,3112
3564,3113
3564,3114
3564,3115
3564,3116
3564,3117
3564,3118
3564,3119
3564,3120
3564,3121
3564,3122
3564,3123
3564,3124
3564,3125
3564,3126
3564,3128
3564,3129
3564,3130
3564,3132
3564,3133
3564,3134
3564,3135
3564,3136
3564,3137
3564,3139
3564,3140
3564,3141
3564,3142
3564,3144
3564,3146
3564,3147
3745,3267
3745,3269
3748,267
4121,3278
4122,3240
4123,3240
4167,3248
4201,3267
4201,3269
4203,246
4209,3236
4301,3242
4303,3242
4332,3276
4341,3270
4346,3243
4396,3295
4396,3296
4396,3297
4396,3298
4396,3299
4396,3300
4396,3301
4396,3302
4396,3303
4396,3304
4396,3305
4396,3306
4396,3307
4396,3308
4396,3309
4396,3310
4396,3311
4396,3312
4396,3313
4396,3314
4396,3315
4396,3316
4396,3317
4396,3318
4396,3319
4396,3320
4396,3321
4396,3322
4396,3323
4396,3324
4396,3325
4396,3326
4396,3327
4396,3328
4396,3329
4396,3330
4396,3331
4396,3332
4396,3333
4396,3334
4396,3335
4396,3336
4396,3337
4396,3338
4396,3339
4396,3340
4396,3341
4396,3342
4396,3343
4396,3344
4396,3345
4396,3346
4396,3347
4396,3348
4396,3349
4396,3350
4434,3244
4456,3271
4577,3272
4630,2818
4631,3235
4700,343
4838,3274
4861,1310
4883,1914
4910,3245
4912,2664
4924,3226
4927,809
4930,287
4930,3369
4930,3370
4930,3371
4934,3227
4936,3241
4937,3228
4938,3273
4952,3221
4952,3222
4952,3223
4952,3224
4952,3225
4952,3226
4952,3227
4952,3228
4952,3229
4952,3230
4952,3231
4952,3232
4957,3233
4961,3372
4978,3359
4980,3247
4982,3279
4982,3280
4982,3281
4982,3282
4982,3283
4982,3284
4982,3285
4982,3286
4982,3287
4982,3288
4982,3289
4982,3290
4982,3291
4982,3292
4983,3279
4983,3280
4983,3281
4983,3282
4983,3283
4983,3284
4983,3285
4983,3286
4983,3287
4983,3288
4983,3289
4983,3290
4983,3291
4983,3292
4983,3293
5041,3235
5042,265
5132,3244
5133,3244
5137,3252
5137,3253
5137,3254
5137,3255
5137,3256
5181,3042
5181,3043
5181,3044
5181,3045
5181,3046
5181,3047
5181,3048
5181,3050
5181,3051
5181,3052
5181,3053
5181,3054
5181,3056
5181,3057
5181,3058
5181,3059
5181,3062
5181,3063
5181,3064
5181,3065
5181,3066
5181,3067
5181,3068
5181,3069
5181,3071
5181,3072
5181,3074
5181,3076
5181,3080
5181,3086
5181,3087
5181,3227
5186,3275
5222,3247
5227,3264
5227,3265
5227,3266
5228,1271
5228,1273
5228,1274
5228,1276
5229,1139
5229,1142
5229,1146
5543,1396
5543,1398
5543,1399
5543,1403
5543,1404
5543,1406
5543,1409
5543,1420
5543,1423
5543,1424
5543,1426
5543,1428
5543,1446
5543,1447
5543,1450
5543,1467
5543,1468
5543,1474
5751,1664
5751,1666
5751,1681
5751,1686
5751,1688
5751,1689
5751,1691
5751,1692
5751,1693
5751,1695
5751,1696
5751,1697
5751,1698
5751,1699
5751,1700
5751,1701
5751,1702
5751,1703
5753,1663
5753,1665
5753,1669
5753,1723
5884,1098
5885,1098
5886,253
5889,263
5890,263
5899,3045
5899,3228
5901,3045
5901,3228
5904,3042
5904,3225
5905,3045
5905,3228
5910,3063
5913,3063
5914,253
5924,810
5924,3247
5925,810
5925,3247
5926,816
5927,809
5927,3244
5928,284
5930,809
5930,3244
5933,2979
